Date,_10Y_Treasury,S_P,STI,month,year
2005-05,4.006000042,1191.5,2161.77002,5,2005
1997-05,6.663000107,848.2800293,2065.5,5,1997
2001-05,5.413000107,1255.819946,1657.050049,5,2001
2021-05,1.58099997,4204.109863,3164.280029,5,2021
2018-05,2.822000027,2705.27002,3428.179932,5,2018
2010-05,3.301000118,1089.410034,2752.600098,5,2010
2016-05,1.833999991,2096.949951,2791.060059,5,2016
1995-05,6.285999775,533.4000244,2178.399902,5,1995
2022-05,2.844000101,4132.149902,3232.48999,5,2022
2013-05,2.164000034,1630.73999,3311.370117,5,2013
2017-05,2.196000099,2411.800049,3210.820068,5,2017
2006-05,5.112999916,1270.089966,2383.870117,5,2006
2008-05,4.046000004,1400.380005,3192.620117,5,2008
2014-05,2.457000017,1923.569946,3295.850098,5,2014
1998-05,5.546000004,1090.819946,1254.930054,5,1998
2002-05,5.043000221,1067.140015,1671.839966,5,2002
2007-05,4.889999866,1530.619995,3511.129883,5,2007
1992-05,7.329999924,415.3500061,1524.699951,5,1992
2020-06,0.6529999971,3100.290039,2589.909912,6,2020
2017-06,2.302000046,2423.409912,3226.47998,6,2017
2022-06,2.971999884,3785.379883,3102.209961,6,2022
2014-06,2.516000032,1960.22998,3255.669922,6,2014
2012-06,1.659000039,1362.160034,2878.449951,6,2012
1993-06,5.800000191,450.5299988,1802.800049,6,1993
2018-06,2.848999977,2718.370117,3268.699951,6,2018
1991-06,8.239999771,371.1600037,1489.900024,6,1991
2008-06,3.979000092,1280,2947.540039,6,2008
2001-06,5.389999866,1224.380005,1726.5,6,2001
2019-06,2,2941.76001,3321.610107,6,2019
1994-06,7.328999996,444.269989,2224.899902,6,1994
2006-06,5.138000011,1270.199951,2435.389893,6,2006
2007-06,5.032999992,1503.349976,3548.199951,6,2007
2021-06,1.442999959,4297.5,3130.459961,6,2021
2010-06,2.950999975,1030.709961,2835.51001,6,2010
2013-06,2.477999926,1606.280029,3150.439941,6,2013
1999-06,5.809999943,1372.709961,2167.699951,6,1999
2002-06,4.823999882,989.8200073,1552.97998,6,2002
1998-06,5.434000015,1133.839966,1066.660034,6,1998
2004-06,4.617000103,1140.839966,1838,6,2004
2016-06,1.488000035,2098.860107,2840.929932,6,2016
1990-06,8.430000305,358.019989,1527,6,1990
1995-06,6.203000069,544.75,2093.199951,6,1995
2000-06,6.018000126,1454.599976,2037.969971,6,2000
2009-06,3.523000002,919.3200073,2333.139893,6,2009
2003-06,3.528000116,974.5,1447.890015,6,2003
2005-06,3.944999933,1191.329956,2212.659912,6,2005
2015-06,2.335000038,2063.110107,3317.330078,6,2015
1997-06,6.501999855,885.1400146,1988,6,1997
1992-06,7.139999866,408.1400146,1481.099976,6,1992
1996-06,6.710999966,670.6300049,2296.199951,6,1996
2011-06,3.157999992,1320.640015,3120.439941,6,2011
2012-07,1.491999984,1379.319946,3036.399902,7,2012
2005-07,4.285999775,1234.180054,2352.560059,7,2005
2013-07,2.592999935,1685.72998,3221.929932,7,2013
2017-07,2.292000055,2470.300049,3329.52002,7,2017
2002-07,4.465000153,911.6199951,1508.359985,7,2002
2015-07,2.204999924,2103.840088,3202.5,7,2015
1996-07,6.789999962,639.9500122,2111.800049,7,1996
2008-07,3.979000092,1267.380005,2929.649902,7,2008
1995-07,6.428999901,562.0599976,2156.399902,7,1995
1998-07,5.493999958,1120.670044,1064.199951,7,1998
2014-07,2.555999994,1930.670044,3374.060059,7,2014
2001-07,5.037000179,1211.22998,1666.030029,7,2001
2011-07,2.805000067,1292.280029,3189.26001,7,2011
2018-07,2.963999987,2816.290039,3319.850098,7,2018
2020-07,0.5360000134,3271.120117,2529.820068,7,2020
2006-07,4.987999916,1276.660034,2445.429932,7,2006
1993-07,5.829999924,448.1300049,1809,7,1993
2004-07,4.474999905,1101.719971,1891.709961,7,2004
2021-07,1.238999963,4395.259766,3166.939941,7,2021
1991-07,8.199999809,387.8099976,1482.900024,7,1991
2000-07,6.028999805,1430.829956,2051.209961,7,2000
2009-07,3.500999928,987.4799805,2659.199951,7,2009
2016-07,1.457999945,2173.600098,2868.689941,7,2016
1994-07,7.09499979,458.2600098,2206.399902,7,1994
1990-07,8.359999657,356.1499939,1554.800049,7,1990
2022-07,2.64199996,4130.290039,3211.560059,7,2022
1992-07,6.71999979,424.2099915,1451.800049,7,1992
2003-07,4.473999977,990.3099976,1558.869995,7,2003
